areacd,areanm,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E07000196,South Staffordshire,33591,33528,34494,35413,36395,37261,37888,38282,38603,38634,38947,39066,39822,40255,41922,44205,47159,48961,49675
E07000197,Stafford,30927,30560,32105,32401,32558,33413,34841,36297,37466,38534,39921,41745,43491,44487,44833,45350,46479,47775,48532
E07000198,Staffordshire Moorlands,30429,30108,32094,32926,33258,33221,32963,33324,34593,37088,39069,40518,40485,40953,41715,43193,43174,42311,41105
E07000199,Tamworth,29070,29001,30169,31183,32258,33811,35601,37307,37899,37306,35971,35315,36512,39767,44302,48041,49902,50142,49883
E07000200,Babergh,33011,32859,34039,34641,35140,36399,38375,40378,41596,42083,42710,43509,44701,45777,47372,49065,50250,50789,50686
E07000202,Ipswich,35500,35046,40326,44321,46994,48502,48205,47404,46503,46733,48400,50873,53241,54589,55272,55787,56275,56965,57279
E07000203,Mid Suffolk,31794,31467,33229,34215,35022,36184,36914,37281,37168,37539,38217,39077,40403,42141,44462,46302,47252,47399,47170
E07000207,Elmbridge,48506,48060,51660,53650,55365,56448,57228,57459,57595,58088,60413,65101,71041,77493,82847,89236,94373,98862,100558
E07000208,Epsom and Ewell,45117,44786,46804,48348,50815,51987,52307,51132,50127,48878,47950,47353,47728,49207,50882,52255,52413,52042,51544
E07000209,Guildford,39381,39401,40488,41009,41712,43028,44988,46594,47738,48466,49324,50188,51236,52664,53752,54452,55420,56669,57858
E07000210,Mole Valley,49111,48411,55595,59298,61069,62361,62659,62970,64231,68917,76442,82999,85435,84266,82997,82752,83243,83460,83603
E07000211,Reigate and Banstead,68322,67857,74786,79888,85103,89755,92967,94290,93222,92017,91472,91711,90703,89785,88184,87194,84175,81596,79637
E07000212,Runnymede,65612,65422,66033,66600,69228,71828,74360,74253,74515,76493,81850,88036,92443,94950,96683,98716,100171,100693,100716
E07000213,Spelthorne,45039,44422,48646,50722,52946,54948,57377,59439,60809,62557,64010,66543,68359,70234,71015,71602,72125,72915,73561
E07000214,Surrey Heath,42795,42651,45720,48644,51527,52737,52555,51922,52399,53518,53540,53415,53409,54230,55050,56590,60358,64556,67512
E07000215,Tandridge,32314,32413,34237,35714,36612,37541,38608,39909,40200,39838,39316,40235,42638,45833,47507,46991,45861,45429,45923
E07000216,Waverley,41181,41045,43645,45489,47273,48452,49305,49730,49847,49861,49880,49896,49726,49594,49965,51196,52516,53371,53506
E07000217,Woking,44846,45147,46075,47901,50259,52050,53445,54428,54946,55709,56880,58590,59592,60045,60444,61128,60977,60032,58920
E07000218,North Warwickshire,51672,51575,51634,50670,48495,46026,44244,43761,45092,48038,51673,54428,54610,54114,53933,55736,57801,59412,59992
E07000219,Nuneaton and Bedworth,27313,27053,28229,29126,30250,31359,32004,31786,31759,32331,34402,36589,38551,39267,39748,40372,41484,42603,43240
E07000220,Rugby,40213,39807,42618,43928,45194,45927,46665,46875,47141,47054,47271,48101,50081,52482,54803,55954,55873,54714,53741
E07000221,Stratford-on-Avon,40331,40280,40810,41207,41551,41646,42276,43380,45574,48250,50990,53324,54833,56458,58678,61216,62673,62506,61777
E07000222,Warwick,41339,40904,43597,44964,45920,46338,46602,46812,47533,49140,51255,54440,57329,60936,63333,65677,66215,66557,66226
E07000223,Adur,36041,35864,36942,37931,39598,41681,43845,45287,45657,44778,43732,43065,43900,45671,47952,49144,48554,47250,46216
E07000224,Arun,29472,29533,29992,30728,31890,33299,34855,36047,36657,37148,37612,38684,39630,41049,42126,43203,43757,44379,44728
E07000225,Chichester,32519,32110,34924,36320,37671,38788,39389,38808,38261,38461,39424,40568,41289,42177,43146,44503,45629,46266,46403
E07000226,Crawley,42356,42382,43082,44318,46345,48169,49363,49765,50465,52036,53820,55484,56700,58329,60083,61712,61438,60199,58627
E07000227,Horsham,39100,38632,41564,43444,45197,46844,47595,47155,46965,46897,47440,47340,47703,47655,48701,49947,52359,53561,54227
E07000228,Mid Sussex,32880,32302,35333,37012,38586,40345,41874,42776,43067,42962,42957,43577,44470,45555,46809,48517,50146,50915,51003
E07000229,Worthing,42927,42639,44567,46042,47785,49863,52016,53009,53478,53303,53877,54872,56349,59362,63441,68516,72109,74411,75173
E07000234,Bromsgrove,43125,43037,45669,46987,47178,47280,48622,51554,55070,58198,60332,61380,60324,56744,52552,50550,51322,52801,53377
E07000235,Malvern Hills,34437,34620,35204,35828,36487,37016,37844,39181,40661,42126,42980,43886,44466,45381,46150,47494,48583,49533,49813
E07000236,Redditch,27061,27182,27095,27605,29057,30921,33327,35129,37045,38742,41102,43897,47394,51113,53894,54929,53937,52482,51406
E07000237,Worcester,31590,31621,33665,35737,37893,39020,39568,39841,41300,43727,46992,49585,51060,51536,51473,52014,52854,53982,54540
E07000238,Wychavon,31701,31449,33185,34149,34827,35111,35349,36054,37327,38885,39831,40481,40762,41521,42890,45158,47594,49308,50024
E07000239,Wyre Forest,26075,25968,27163,28607,30373,31653,32282,32528,32882,33547,34851,36239,37172,37068,36616,36488,36456,36474,36268
E07000240,St Albans,38017,38050,38674,39594,40273,40329,39932,39804,40000,40237,40556,41469,43741,46842,49733,51388,52380,53249,53995
E07000241,Welwyn Hatfield,45443,45258,46828,48017,48250,47797,46923,45743,44559,43116,42590,43557,45427,46990,47485,48594,51862,56107,59183
E07000242,East Hertfordshire,38486,38057,42250,45314,48600,52256,55330,56613,55934,53630,50795,48440,48060,48956,49752,49284,48234,47966,48058
E07000243,Stevenage,42549,42579,45484,48451,51625,52726,52889,51636,51032,51294,52799,54613,55360,55553,55345,55401,55004,54495,54025
E07000244,East Suffolk,36243,35996,37347,38160,38540,38947,39265,39370,39765,40706,42163,43609,44403,45122,45682,46955,48333,49971,50823
E07000245,West Suffolk,39361,39436,40465,41954,43857,45564,46474,46506,46318,46886,48094,49514,51021,52505,53477,53526,52974,52600,52435
E07000246,Somerset West and Taunton,30083,29975,30918,32218,33535,34559,34674,34581,34693,35261,36153,37047,38299,39479,40730,41453,41647,41399,41099
E08000001,Bolton,29963,29879,31546,33169,35043,36418,37431,38352,39423,40565,41572,42422,43189,44126,45147,46165,46637,46714,46540
E08000002,Bury,32957,33045,34374,35977,37472,38568,38970,39148,39198,39648,40117,40767,41169,42016,42568,43355,44039,45011,45669
E08000003,Manchester,35605,35332,38783,41493,43754,45631,46803,47821,48654,49467,49997,50250,50649,51614,53099,55009,56425,57419,57643
E08000004,Oldham,27928,27958,28742,30230,32339,33930,34856,35360,35976,36842,37686,38627,39607,40544,41343,42569,44103,45714,46524
E08000005,Rochdale,28652,28583,29783,30677,31726,32612,33658,34637,36015,37756,39490,41001,41851,42737,43327,44089,44659,45296,45631
E08000006,Salford,34455,34189,37448,40039,42179,43695,44167,44376,44620,46145,48692,51983,54649,55942,56171,56015,56749,57655,58469
E08000007,Stockport,34210,34045,35579,36925,38155,39199,39922,40593,41125,41782,42383,43124,43679,44886,46282,47745,48176,48158,47929
E08000008,Tameside,30832,30788,31487,32624,34307,35832,37235,38016,38775,39274,39996,40718,41443,42543,43960,45462,46217,46383,46281
E08000009,Trafford,41780,41741,43473,45640,48141,50000,51045,50928,50729,50602,50935,51275,51713,52865,54788,56899,58165,58486,58341
E08000010,Wigan,31028,30944,31898,32997,34290,35443,35837,35734,35684,36440,37589,39151,40595,42183,43225,43715,43819,43894,44043
E08000011,Knowsley,35832,35542,37125,38021,38915,39682,40509,41434,42595,43919,45111,46557,47884,49817,51903,53631,54077,53437,52799
E08000012,Liverpool,34720,34355,37350,39276,41004,42366,43690,44895,45830,46333,46613,47065,47825,48562,49051,49173,49336,49593,49867
E08000013,St. Helens,32597,32146,34477,35685,36836,37796,38720,39293,39457,39341,39112,39590,40423,41359,41833,42116,42081,41963,41686
E08000014,Sefton,26339,26140,28402,30171,32169,33864,35365,36205,36738,36803,36909,37199,38230,39592,41102,42257,43178,43691,43908
E08000015,Wirral,31165,30976,33296,34955,36637,37859,38753,39210,39447,39705,40253,41089,42413,43501,44484,44980,46046,47123,48038
E08000016,Barnsley,30256,30054,32260,34233,36269,37656,38161,38125,38582,39395,40419,40954,41402,41891,42387,42908,43243,43723,43993
E08000017,Doncaster,29200,29056,30065,30961,32057,33228,33995,34402,34719,35177,35928,36776,37816,38996,40412,42040,43354,44221,44491
E08000018,Rotherham,30212,30220,29924,30389,31445,32932,34307,35317,36483,37824,39214,40169,40328,40687,41270,42887,43852,44479,44297
E08000019,Sheffield,32662,32483,34237,35731,37164,38347,39032,39680,40446,41485,42406,43323,43844,44396,44690,45271,45812,46363,46632
E08000021,Newcastle upon Tyne,30857,30553,32957,34295,35438,36204,36766,37340,38260,39486,40689,41871,43191,44811,46105,47041,47308,47576,47635
E08000022,North Tyneside,39990,39678,41775,42684,43553,44133,44536,44658,44771,45249,45537,45755,45907,46612,47752,49175,50539,51672,52296
E08000023,South Tyneside,29920,29749,31144,31974,32927,33365,33641,33533,34065,34825,36128,37172,38565,39401,40177,40547,41073,41579,41876
E08000024,Sunderland,36029,35827,37689,38857,40047,41091,42310,43342,44168,45186,46870,49462,51816,53631,54691,55970,56826,57491,57488
E08000025,Birmingham,32137,31924,34072,35626,37039,38649,40090,41349,41980,42339,42795,43613,44841,46191,47672,48822,49502,49605,49521
E08000026,Coventry,36325,36045,38693,40361,41705,42939,44053,45183,46607,48117,49688,51188,53603,56314,58547,59031,58538,57940,57734
E08000027,Dudley,29336,29232,30552,31599,32803,33573,34191,34747,35773,37074,38329,39256,39869,40478,41323,42328,43344,44051,44440
E08000028,Sandwell,32114,31814,33922,34792,35263,35559,36113,37007,37860,38494,38853,39568,40935,42864,45366,47766,50160,51656,52503
E08000029,Solihull,45215,45240,46617,48480,50847,52979,54735,55922,56786,57214,57765,59265,61993,65936,69187,71005,70050,68679,67414
E08000030,Walsall,27325,27194,28341,29337,30282,31268,32239,33524,34969,36613,38161,39481,40516,40981,41452,41691,42010,42165,42248
E08000031,Wolverhampton,35774,35578,37447,38289,38673,39186,39563,39760,39773,40117,41008,41526,41808,41914,42978,44604,45855,46504,46505
E08000032,Bradford,30339,30151,32285,33864,35364,36476,37247,37696,38229,38847,39527,40132,40752,41483,42443,43599,44701,45452,45753
E08000033,Calderdale,30073,29853,32386,34624,36229,37246,36835,36139,35490,35596,36318,37840,39776,42394,45087,48256,50475,51858,52124
E08000034,Kirklees,28364,28259,29045,30012,31416,32904,34166,34735,35091,35403,35978,36719,37388,38178,39263,40656,42163,43127,43621
E08000035,Leeds,37035,36751,39502,41867,43862,45666,46381,46944,47316,48244,49405,50533,51470,52061,52723,53429,54279,54927,55266
E08000036,Wakefield,36477,36516,36784,37470,38456,39144,39731,40009,40220,40516,40892,41487,42071,42964,44240,45940,47595,48713,49159
E08000037,Gateshead,32494,32476,34664,36722,38446,39069,39075,39058,40043,41165,42095,41815,41350,40999,41285,42160,43215,44409,44998
E09000001,City of London,86799,85436,100927,112546,122625,130297,133551,133790,131543,129154,127089,125660,124645,123569,123802,124245,127503,130479,133453
E09000002,Barking and Dagenham,44871,44769,47670,50454,53739,56524,58943,60871,62110,63252,64141,64928,64062,62003,59385,57856,56643,55846,55016
E09000003,Barnet,40281,39989,43108,45300,47032,47901,47664,47053,46982,47537,48535,49536,50996,52261,53521,54517,55968,57267,58108
E09000004,Bexley,47177,46923,49842,53505,57514,60641,61607,61103,61184,63362,67564,71731,74965,76308,77182,77033,77441,77625,78059
E09000005,Brent,44187,44053,46958,50091,53642,56145,57123,56988,56800,57187,58020,59775,61684,63054,62641,61705,61218,61797,62370
E09000006,Bromley,44532,44346,47277,49210,50646,51450,52333,53477,55021,56313,57359,58122,59416,60854,62830,64495,65835,65978,65712
E09000007,Camden,48946,48322,53610,56786,59250,60771,61557,61995,62727,63782,65373,68404,73585,80561,87162,91574,92584,91771,90549
E09000008,Croydon,42344,42007,45886,48784,51232,53514,54921,56003,56303,57385,58814,61256,62790,63620,63806,65326,68100,71043,72640
E09000009,Ealing,45301,45096,47573,49453,51569,53343,54810,54866,54542,53874,54502,55948,58159,59977,61809,63144,64412,64536,64437
E09000010,Enfield,45343,45127,47701,50118,53044,54901,55349,55001,54973,55804,56374,56847,57397,58787,60562,62196,63241,63894,64155
E09000011,Greenwich,44177,43918,46419,48087,49797,51036,51956,52641,53971,55381,55891,55399,54918,55510,56462,57328,57394,57413,57229
E09000012,Hackney,34881,34258,39851,43552,46479,48056,48659,48539,48894,49381,49935,50218,50516,51835,53839,56755,58867,60384,60769
E09000013,Hammersmith and Fulham,40294,40154,41403,42400,43818,45726,47329,48512,49866,52438,56130,60214,63745,66750,69559,72959,75405,76702,76537
E09000014,Haringey,32320,32213,33562,34611,36017,37758,39775,41839,43762,44826,45085,45022,45532,46582,47742,49103,49750,50033,49659
E09000015,Harrow,42435,42152,45180,47203,49316,51284,52741,53502,54225,55286,56000,56919,57641,58772,59278,59963,60759,61750,62250
E09000016,Havering,39692,39358,43373,46949,49981,52307,52793,53062,53589,54675,55982,56926,58143,58806,59255,59930,60969,62288,62863
E09000017,Hillingdon,55268,55043,56241,56954,57021,56881,56383,56249,56673,57400,58556,61215,64900,68662,70863,72946,73867,74443,73835
E09000018,Hounslow,60238,59842,64347,68562,73995,78252,80939,81520,82349,83852,87229,90358,93129,94276,95899,97991,99795,100519,100307
E09000019,Islington,56814,56578,59579,61750,64038,65446,66989,69027,72179,75238,77463,78697,79736,80811,82175,83254,84183,84645,84946
E09000020,Kensington and Chelsea,36699,36277,40105,42955,45997,48934,50801,51615,52907,56021,61312,66759,70504,70993,69960,68425,68572,68905,69564
E09000021,Kingston upon Thames,41339,41100,42608,43640,44252,46064,47015,48124,49229,51314,53611,54754,55260,54866,55346,56415,57789,58707,58844
E09000022,Lambeth,46753,46466,50590,54365,58265,61586,63451,64657,66699,68336,68871,67629,68290,70275,73895,75737,77094,77176,77408
E09000023,Lewisham,30745,30473,33895,36782,39633,41602,42799,43775,45117,46111,46228,46136,46655,47841,48631,48920,49068,49283,49471
E09000024,Merton,47189,47181,47867,50441,53462,55795,56118,55364,54947,54761,55453,56426,58591,60161,60820,60156,59688,59925,60372
E09000025,Newham,46466,46395,47457,49040,51648,54370,56702,57440,57754,57104,56376,55336,54639,54754,54540,54877,54286,54391,54052
E09000026,Redbridge,39256,38966,43039,46512,49555,50574,50257,49911,50337,51378,51916,52780,53629,54983,56238,57106,57415,56977,56566
E09000027,Richmond upon Thames,49895,49659,52419,54225,55931,56917,57307,57076,57148,57861,60062,62439,64851,66653,68788,71911,74668,76727,77200
E09000028,Southwark,51629,51716,51787,52478,52788,53300,53862,55897,58567,61469,62874,63723,63558,64137,64680,66421,68182,70008,70834
E09000029,Sutton,41927,41543,45387,48235,49917,50658,49985,49513,49327,49865,51023,52360,53645,54336,55068,55715,56121,55924,55578
E09000030,Tower Hamlets,91342,91007,94143,98611,103346,109177,113166,116741,118527,119356,119097,118745,119523,121335,123507,124014,122865,121377,120687
E09000031,Waltham Forest,37653,37302,40138,42498,45335,47172,47720,47080,46948,46821,46998,47262,48515,50135,51489,52170,52440,52557,52610
E09000032,Wandsworth,33892,33667,36572,38749,40537,42211,43659,45147,46596,47959,49722,52017,54584,56161,56793,56488,56393,56139,56127
E09000033,Westminster,57662,57254,62037,65677,68952,71673,73343,74537,75953,77650,79929,82096,84960,88319,92637,96945,99967,101501,101806
N09000001,Antrim and Newtownabbey,32793,32520,34030,35261,36635,37824,38085,37904,38042,39039,40489,41973,43581,45057,46537,47702,48624,49094,49226
N09000002,"Armagh City, Banbridge and Craigavon",31040,30864,32399,33563,34710,35503,35983,36269,36855,37514,38444,39304,40560,41842,43272,44431,45744,46800,47555
N09000003,Belfast,33726,33439,36042,37942,39564,40939,41412,41618,41720,42805,44223,45734,46995,48460,50461,52614,54282,55101,55289
N09000004,Causeway Coast and Glens,30128,29999,31285,32545,33857,35175,36165,37309,38310,39427,39931,40105,40443,41655,43562,45157,46058,46404,46572
N09000005,Derry City and Strabane,27528,27209,29977,31898,33359,34274,34361,34173,34196,35361,36996,38582,39534,40393,41449,42547,43364,43824,44000
N09000006,Fermanagh and Omagh,30165,30008,31825,33275,34549,35335,35496,35355,35612,36275,37287,37889,38764,39816,41476,43070,45080,46729,47906
N09000007,Lisburn and Castlereagh,32593,32434,33547,34555,35630,36414,36890,37190,38188,39628,41434,42899,44181,45488,46914,48407,49583,50342,50625
N09000008,Mid and East Antrim,44741,44444,45991,46510,47174,48479,51275,54245,57143,58581,59964,60943,61339,60827,57973,54936,51319,49691,48769
N09000009,Mid Ulster,41737,41514,43073,44030,44674,44415,43611,42807,42958,43883,45360,46798,48251,49290,50268,51098,51942,52453,52624
N09000010,"Newry, Mourne and Down",30109,29947,31412,32425,33396,33979,34216,34279,34824,36138,38129,40188,42262,43896,45274,46198,47204,48093,48706
N09000011,Ards and North Down,30359,30231,31611,33091,34743,36060,36571,36525,36899,37710,38873,39383,40084,41160,43373,45919,47668,48362,48204
S12000005,Clackmannanshire,35112,34766,37739,40119,42515,44162,45115,45310,46079,46989,48408,49982,52590,56213,60197,64558,68152,71122,72371
S12000006,Dumfries and Galloway,37356,37143,38361,38973,39603,40370,41244,41978,42643,43473,44755,46158,47372,47972,48347,49125,50615,52347,53440
S12000008,East Ayrshire,30771,30799,32792,34492,36110,37400,38285,38698,38819,39141,39717,40253,40517,40702,41094,41740,42569,43100,43355
S12000010,East Lothian,32077,31951,33412,34790,36090,37240,38030,38913,39646,40735,42118,43816,45617,47343,48940,50455,51563,52426,52713
S12000011,East Renfrewshire,30733,30387,32658,33867,35014,35485,35847,35523,36029,36931,38893,40478,41856,42997,44383,45803,46618,46957,46949
S12000013,Na h-Eileanan Siar,28511,28461,30567,32296,33829,35390,37011,39128,40767,41732,41846,41518,41409,41379,41676,42462,43196,44001,44176
S12000014,Falkirk,39364,39100,42378,44884,46969,48290,49682,50724,51521,51252,51151,51435,52525,53628,54973,56732,58654,59994,60454
S12000017,Highland,30628,30398,32865,34050,34672,35152,36080,37556,39344,40820,42070,43054,44245,45749,47410,49396,50501,51025,50767
S12000018,Inverclyde,30658,30561,32074,32915,33987,35248,36682,37686,38132,38613,39259,39739,40031,40535,41496,42846,43316,43370,42880
S12000019,Midlothian,30028,29909,30884,31189,31643,32284,33444,34413,35336,36050,36851,37962,39482,41561,43886,46310,48734,50550,51586
S12000020,Moray,27430,27257,29626,31568,33765,36094,38464,40545,41969,43142,44024,45117,45691,46268,46784,47796,48709,49234,49329
S12000021,North Ayrshire,32002,31741,34209,36140,37686,39140,40174,41608,42792,44249,45635,46753,47445,47632,48156,49222,51106,52959,54164
S12000023,Orkney Islands,36851,36467,39625,41090,42282,43401,44875,46259,47746,48850,49311,49236,48922,48036,46234,44303,42998,42729,42696
S12000026,Scottish Borders,30170,29975,31421,32281,33201,33953,34873,35878,36926,37900,39275,41061,43143,44576,45666,46523,47597,48298,48648
S12000027,Shetland Islands,33875,34000,34336,35452,37439,39230,40368,41653,43892,47563,50604,51487,51038,50377,51177,52490,53150,53117,52513
S12000028,South Ayrshire,34912,34724,36354,37324,37806,38296,39153,40491,41917,42681,43223,43644,44590,45539,46833,48125,49038,49231,48997
S12000029,South Lanarkshire,34050,33978,35209,36368,37946,39728,41849,43365,44315,44680,45721,47170,48935,50462,52177,53937,54868,54979,54546
S12000030,Stirling,35076,34708,36919,38060,38984,40387,41461,42594,43541,45185,46566,47751,48222,48435,48461,48904,49759,50742,51285
S12000033,Aberdeen City,35243,35153,37196,39827,43535,47101,50195,52300,54308,56269,58207,59471,59513,58550,57191,56601,57043,57967,58613
S12000034,Aberdeenshire,40256,40230,43003,46019,49623,52879,55316,56113,55894,55568,56904,59401,61898,62550,62264,61646,61615,61349,61123
S12000035,Argyll and Bute,25944,25670,28619,30053,31028,32204,33536,34891,35645,36499,37339,38408,39138,39942,40708,41828,42483,42930,42921
S12000036,City of Edinburgh,38375,37986,41951,44762,47217,49427,50951,51958,52203,52679,53959,56328,59269,62249,65226,67614,68902,69168,68972
S12000038,Renfrewshire,35690,35514,37887,39002,39620,39817,40425,41481,43011,44730,46476,47516,47869,47533,47593,48268,49032,49520,49475
S12000039,West Dunbartonshire,31618,31152,35357,37461,38333,38692,39205,40620,42241,43943,44873,45611,46742,48991,52020,54659,56284,56770,56778
S12000040,West Lothian,40919,40753,42887,44379,45934,47386,48660,49835,50625,51000,50505,50600,51476,53674,55958,58098,59613,60437,60717
S12000041,Angus,28443,28177,30247,31847,33668,35089,35984,36355,36973,38022,40030,42084,44150,44999,45944,46978,48835,50293,51126
S12000042,Dundee City,30113,29936,31313,32281,33258,34121,34865,35750,37212,38914,40473,41439,42040,42477,43060,43969,45019,45819,46170
S12000045,East Dunbartonshire,30356,29959,32994,34628,35989,36931,37723,38367,38877,39192,39536,40415,42036,44052,46194,48311,49920,50729,50815
S12000047,Fife,30377,30166,31981,33575,35811,38226,40478,41664,42302,42703,43480,44543,45750,47227,48737,50342,51354,51909,51953
S12000048,Perth and Kinross,34654,34230,37240,39412,41686,43323,44552,45497,46869,48872,51550,54478,56959,58855,60128,60908,61316,61333,61389
S12000049,Glasgow City,33031,32748,35462,37422,39139,40428,41263,42070,43011,44651,46201,47576,47770,48090,48699,50157,51334,52061,52228
S12000050,North Lanarkshire,34901,34644,36471,37190,37767,38569,39922,41513,43039,44456,45849,47449,49404,51453,53437,55264,56821,58074,58648
W06000001,Isle of Anglesey,30313,30128,32006,32891,33703,33897,33854,33526,33503,34110,34713,35326,35712,36810,38190,40044,41358,42421,42760
W06000002,Gwynedd,29680,29526,31688,33456,35210,36057,35981,35468,35169,35382,35604,35819,35771,35776,36012,36781,37551,38123,38231
W06000003,Conwy,26554,26422,27584,28344,29147,29440,29466,29554,30103,31121,32158,33166,33784,34546,35625,37392,38639,39226,39080
W06000004,Denbighshire,28815,28673,29695,30439,31243,31656,32025,32536,33343,34309,35212,36218,37212,38112,38888,39618,40410,41148,41603
W06000005,Flintshire,35850,35795,36216,36791,37875,39196,40786,42542,44502,46622,48001,48805,49110,50581,52679,55253,56782,57755,58003
W06000006,Wrexham,36715,36328,39279,41088,42342,43275,43905,44744,45494,46552,47293,48343,48982,49702,49871,50203,50587,51179,51525
W06000008,Ceredigion,27489,27375,28497,29169,30137,31120,31776,32207,32898,34109,35183,35724,35659,35923,36766,38214,39407,40019,40181
W06000009,Pembrokeshire,31247,30814,33584,33948,34265,34110,33936,32836,32320,32766,34292,36803,39285,42433,44235,45986,46056,46119,45620
W06000010,Carmarthenshire,31231,31101,31432,31579,32279,32678,32943,32716,33289,34357,35744,36666,37252,37642,38348,39511,41129,42412,43109
W06000011,Swansea,29399,29308,31149,32643,34257,35658,36656,37369,38065,39152,40263,41040,41708,42576,44058,45691,47246,48222,48673
W06000012,Neath Port Talbot,30458,30304,32433,34089,35871,36797,37545,38023,38841,39547,40425,41430,42224,43116,44017,45410,46355,46872,46892
W06000013,Bridgend,37144,36921,38084,38756,39298,39576,39950,40520,41708,43021,44008,44438,44726,45599,47447,50242,53070,55384,56459
W06000014,Vale of Glamorgan,31944,31862,32648,33659,34704,35797,36076,36241,36427,37643,39020,40483,41472,42195,42329,42172,42116,42435,42717
W06000015,Cardiff,34253,33989,35954,37484,38896,40175,40821,41309,42099,43555,45187,46475,47464,48476,49761,51128,52475,53515,54106
W06000016,Rhondda Cynon Taf,28637,28384,29793,30804,32053,33994,36569,39328,41719,43518,44811,45830,47100,48684,50560,52035,53102,53929,54449
W06000018,Caerphilly,33361,33095,34388,34871,35029,34951,34905,35391,36773,38441,39760,40581,41540,43308,45769,48137,49436,49655,49430
W06000019,Blaenau Gwent,27955,27863,29617,30933,32209,32707,32866,33369,34227,35772,36563,37261,37423,38440,39756,41602,43032,44024,44381
W06000020,Torfaen,28112,27868,30613,32618,33826,34652,34978,35658,36403,37372,37942,38512,38754,39101,39768,41278,42992,44163,44476
W06000021,Monmouthshire,31276,31243,33287,35303,37259,38743,39204,39592,40053,41183,42274,43420,44054,44269,44119,44538,46039,47879,49158
W06000022,Newport,33845,33617,35545,36840,37676,38364,38673,39339,40270,41694,42898,43570,43950,44599,45909,47503,48811,49569,49795
W06000023,Powys,25752,25626,26995,27949,28729,29277,29488,29588,29682,29980,30482,31114,31729,32258,32846,33658,34627,35474,35943
W06000024,Merthyr Tydfil,33853,33432,36161,37398,37724,37745,37592,37842,38290,39270,40035,41048,41635,42671,43499,44489,44454,44032,43354
