areacd,areanm,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E06000019,"Herefordshire, County of",30984,31091,30416,30128,30114,30256,30713,31319,32164,32896,33865,35091,36448,37161,37297,37569,38202,38918,39204
E06000020,Telford and Wrekin,32873,32569,34078,34843,35557,36447,37325,38229,39031,40080,40871,41616,42280,43498,45336,47224,48801,49671,50108
E06000021,Stoke-on-Trent,28720,28602,30852,32750,34639,36149,36985,37341,37586,38200,39039,39957,40638,41421,42580,44514,46475,47951,48524
E06000022,Bath and North East Somerset,31549,31582,32716,34461,36322,37809,38666,38879,39004,39054,39340,39776,40395,41133,41816,42348,42379,42188,41862
E06000023,"Bristol, City of",33119,32720,35570,37359,39086,40774,42332,43542,44449,44962,45375,45723,46553,47843,49431,50677,51392,51753,51928
E06000024,North Somerset,34973,34759,36400,37277,37994,38366,38603,38410,38645,39399,41192,43024,44352,44883,45092,45541,45952,46304,46343
E06000025,South Gloucestershire,48272,48435,48227,49082,50881,52559,53782,54474,55987,58338,61754,64587,67113,69051,71062,72813,73895,74376,74408
E06000026,Plymouth,27584,27401,29444,30746,31993,32922,33884,34674,35387,36055,36853,37728,38746,39948,41568,43166,44267,44684,44687
E06000027,Torbay,26779,26610,28622,30135,31544,32515,33274,33587,33573,33211,33039,33436,34217,34947,35343,35421,35453,35493,35571
E06000030,Swindon,46880,46402,49971,53002,56823,60598,63699,65118,66055,66485,67728,69413,71766,74022,76067,78148,79442,80039,79802
E06000031,Peterborough,36984,36862,39955,42323,43778,44510,44566,45033,45948,46997,47523,47004,46437,46099,47646,50127,52987,54320,54636
E06000032,Luton,43529,43666,43299,43950,45402,47004,48462,49116,49701,50107,51098,52742,54703,56783,58141,59607,59884,59897,59227
E06000033,Southend-on-Sea,25707,25435,27807,29394,30777,31968,33083,34079,34921,35632,36286,36986,37703,38656,39584,40607,40979,41215,41086
E06000034,Thurrock,40479,40081,43701,46056,47471,48166,48386,48334,48485,48150,48292,48398,49435,50971,53305,56191,58041,58948,58689
E06000035,Medway,31378,31051,33396,35001,36908,39026,41068,42577,43699,44958,46415,48131,49341,50266,50957,52551,54267,55929,56529
E06000036,Bracknell Forest,48693,48476,51081,52895,54380,56698,59507,62704,65236,67933,70115,72342,73205,74658,75579,77411,77490,77305,76383
E06000037,West Berkshire,53284,53177,56032,58575,60737,61808,61548,60877,60895,62573,64773,67113,68237,69327,69751,71139,73336,76117,77949
E06000038,Reading,43930,43413,48526,52311,55543,58546,61213,63683,65005,65698,66097,66927,67764,68235,69530,71105,72529,72262,71504
E06000039,Slough,76973,76357,81472,84663,87536,89541,90540,90508,89994,89885,90242,91607,93251,94162,93818,93305,94316,96654,98604
E06000040,Windsor and Maidenhead,49451,49041,51808,54061,56149,58455,60600,62221,63892,65962,68895,71794,73844,76284,78901,81910,82764,82572,81723
E06000041,Wokingham,53658,53220,58063,61397,63674,65227,65693,65923,66187,66328,66811,66872,67936,68693,71100,74615,81130,86791,90567
E06000042,Milton Keynes,49727,49490,51724,53846,55574,56691,57057,57275,57730,58528,60193,62901,65753,68157,69880,72219,74441,76099,76587
E06000043,Brighton and Hove,31150,31066,32523,34187,36266,38181,39688,40425,40758,41283,42479,44118,45489,46550,47722,49462,51736,53623,54711
E06000044,Portsmouth,28466,28216,30761,32867,34910,36651,37793,38408,39093,40184,41991,43964,45392,46057,46274,47138,48595,50198,51092
E06000045,Southampton,34415,33988,37460,39592,41587,43752,46067,48575,51044,53276,54307,54835,55148,56392,58118,60027,61026,61092,60666
